,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-16814-MONOMER,Lipst1_1_47845,,,YALI0B02552g,,,0.748
Lst|G1IA6-21789-MONOMER,Lipst1_1_73341,8580,YDR001C,YALI0D15598g,1.944,1.801,1.431
Lst|G1IA6-17175-MONOMER,Lipst1_1_733,,YBR286W,YALI0B21186g,,1.414,1.566
Lst|G1IA6-16516-MONOMER,Lipst1_1_129091,11345,YNR035C,YALI0A03025g,1.175,0.799,1.359
Lst|G1IA6-22186-MONOMER,Lipst1_1_73771,13290,,YALI0C16665g,1.944,,1.588
Lst|G1IA6-20587-MONOMER,Lipst1_1_337959,12273,YPL184C,YALI0C15400g,1.868,1.562,1.588
Lst|G1IA6-16995-MONOMER,Lipst1_1_67244,15542,YLR175W,YALI0E13486g,1.944,1.801,1.588
Lst|G1IA6-18492-MONOMER,Lipst1_1_69224,12944,YJL167W,YALI0E05753g,1.756,1.693,1.588
Lst|G1IA6-21709-MONOMER,Lipst1_1_64758,16587,YBR123C,YALI0E14663g,0.277,0.37,0.646
Lst|G1IA6-23417-MONOMER,Lipst1_1_6381,,,YALI0C11011g,,,0.107
Lst|G1IA6-20417-MONOMER,Lipst1_1_82789,16149,YGR271W,YALI0B13904g,1.944,1.801,1.588
Lst|G1IA6-20226-MONOMER,Lipst1_1_63264,15285,,YALI0A00847g,1.059,,1.073
Lst|G1IA6-20846-MONOMER,Lipst1_1_72130,15911,,,0.633,,
Lst|G1IA6-17841-MONOMER,Lipst1_1_783,,,YALI0D19602g,,,1.588
Lst|G1IA6-21369-MONOMER,Lipst1_1_72756,16655,YCR034W,YALI0B20196g,0.958,1.123,1.183
Lst|G1IA6-21107-MONOMER,Lipst1_1_33642,12813,,,1.132,,
Lst|G1IA6-24105-MONOMER,Lipst1_1_201837,10704,YDR536W,YALI0A08998g,1.222,1.234,1.588
Lst|G1IA6-18520-MONOMER,Lipst1_1_69332,,YLR403W,YALI0F11487g,,0.492,0.874
Lst|G1IA6-17280-MONOMER,Lipst1_1_1069,11217,YOL052C,YALI0E20361g,0.851,0.888,1.078
Lst|G1IA6-21081-MONOMER,Lipst1_1_320270,14198,YOR017W,YALI0B13222g,0.829,0.663,0.563
Lst|G1IA6-20807-MONOMER,Lipst1_1_71970,8800,,YALI0E16599g,0.659,,0.61
Lst|G1IA6-17769-MONOMER,Lipst1_1_68429,,YBR007C,YALI0A07821g,,0.104,0.233
Lst|G1IA6-16519-MONOMER,Lipst1_1_129517,12993,,YALI0B04400g,0.503,,0.515
Lst|G1IA6-20621-MONOMER,Lipst1_1_3835,,YER015W,,,1.533,
Lst|G1IA6-16689-MONOMER,Lipst1_1_312,13362,YNL135C,YALI0B10450g,0.528,0.503,0.495
Lst|G1IA6-19461-MONOMER,Lipst1_1_2787,,,YALI0C08591g,,,0.337
Lst|G1IA6-21181-MONOMER,Lipst1_1_4409,,YBR199W,YALI0E01892g,,1.142,1.275
Lst|G1IA6-20894-MONOMER,Lipst1_1_72309,14050,YLR127C,YALI0E04983g,1.166,0.37,1.177
Lst|G1IA6-17592-MONOMER,Lipst1_1_48490,14222,YDL043C,YALI0D25652g,0.962,0.171,0.754
Lst|G1IA6-16963-MONOMER,Lipst1_1_67128,16443,YDL126C,YALI0F12155g,1.944,1.801,1.588
Lst|G1IA6-16729-MONOMER,Lipst1_1_384,,YNL029C,YALI0F25817g,,1.158,1.3
Lst|G1IA6-18825-MONOMER,Lipst1_1_2506,,YOR249C,YALI0F05478g,,0.134,0.354
Lst|G1IA6-20284-MONOMER,Lipst1_1_71269,13737,YOR298C-A,YALI0B12166g,0.455,0.557,0.477
Lst|G1IA6-24245-MONOMER,Lipst1_1_32443,,,YALI0E02178g,,,0.338
Lst|G1IA6-19708-MONOMER,Lipst1_1_70489,12645,YPL115C,YALI0E07601g,0.868,0.609,1.044
Lst|G1IA6-19334-MONOMER,Lipst1_1_264960,,,YALI0A06611g,,,0.229
Lst|G1IA6-20675-MONOMER,Lipst1_1_4021,9397,,,0.176,,
Lst|G1IA6-20607-MONOMER,Lipst1_1_3797,,YDR412W,YALI0C04345g,,0.156,0.094
Lst|G1IA6-21622-MONOMER,Lipst1_1_4819,,YPR022C,,,0.615,
Lst|G1IA6-23244-MONOMER,Lipst1_1_75096,11978,,,0.648,,
Lst|G1IA6-19904-MONOMER,Lipst1_1_117734,15305,YDR256C,YALI0F30987g,0.998,1.801,1.588
Lst|G1IA6-16969-MONOMER,Lipst1_1_67139,,,YALI0F25443g,,,0.279
Lst|G1IA6-23962-MONOMER,Lipst1_1_6934,12795,,,0.398,,
Lst|G1IA6-16786-MONOMER,Lipst1_1_47067,Sce|YCR005C,YNR001C,YALI0E02684g,1.801,1.801,1.588
Lst|G1IA6-23421-MONOMER,Lipst1_1_6396,9651,YOL120C,YALI0B08866g,0.711,0.926,0.712
Lst|G1IA6-20063-MONOMER,Lipst1_1_3267,12605,YJR095W,YALI0E34672g,1.431,1.197,1.232
Lst|G1IA6-20454-MONOMER,Lipst1_1_105439,16037,YOR125C,YALI0E15224g,0.591,0.789,0.706
Lst|G1IA6-19175-MONOMER,Lipst1_1_70087,12255,YLR248W,YALI0E13750g,1.785,1.214,1.588
Lst|G1IA6-17301-MONOMER,Lipst1_1_1114,10191,YKR018C,YALI0F29491g,0.266,1.073,1.162
Lst|G1IA6-20584-MONOMER,Lipst1_1_31221,,YML048W,YALI0D02739g,,0.422,0.554
Lst|G1IA6-18045-MONOMER,Lipst1_1_1602,14711,YBL026W,YALI0F08459g,0.47,0.44,0.396
Lst|G1IA6-23079-MONOMER,Lipst1_1_30057,9205,YOL022C,YALI0B09119g,0.231,0.385,0.639
Lst|G1IA6-17201-MONOMER,Lipst1_1_89272,Yli|G1FV3-25054-MONOMER,Yli|G1FV3-29426-MONOMER,YALI0B06391g,1.588,1.588,1.588
Lst|G1IA6-19371-MONOMER,Lipst1_1_2680,,,YALI0D12661g,,,1.299
Lst|G1IA6-18929-MONOMER,Lipst1_1_26709,14080,YOR361C,YALI0F16115g,1.944,1.444,1.588
Lst|G1IA6-16694-MONOMER,Lipst1_1_326,12734,YNR023W,YALI0D25344g,0.262,0.316,0.8
Lst|G1IA6-17195-MONOMER,Lipst1_1_84,10144,YPL160W,YALI0E24607g,1.944,1.801,1.588
Lst|G1IA6-24252-MONOMER,Lipst1_1_66693,,YBR015C,YALI0A13585g,,0.4,0.537
Lst|G1IA6-17509-MONOMER,Lipst1_1_222005,8933,YNL062C,YALI0B10582g,0.654,0.932,1.138
Lst|G1IA6-21606-MONOMER,Lipst1_1_4764,12520,YGR054W,YALI0C08877g,1.779,1.05,1.558
Lst|G1IA6-21520-MONOMER,Lipst1_1_327772,16433,YGR270W,YALI0F23397g,1.944,1.801,1.588
Lst|G1IA6-19101-MONOMER,Lipst1_1_69775,10825,YGL141W,YALI0A20372g,1.446,1.045,1.075
Lst|G1IA6-18306-MONOMER,Lipst1_1_33725,8399,YBR252W,YALI0F19448g,0.599,0.509,0.472
Lst|G1IA6-23886-MONOMER,Lipst1_1_195682,,,YALI0A10769g,,,0.847
Lst|G1IA6-17926-MONOMER,Lipst1_1_959,11378,,YALI0F14179g,1.67,,1.545
Lst|G1IA6-22273-MONOMER,Lipst1_1_106695,9146,YDR324C,YALI0F08657g,0.334,1.696,1.347
Lst|G1IA6-22427-MONOMER,Lipst1_1_5477,,YGL047W,YALI0E33275g,,0.154,0.219
Lst|G1IA6-22963-MONOMER,Lipst1_1_74905,16837,YBR153W,YALI0D06501g,0.322,0.46,0.421
Lst|G1IA6-23357-MONOMER,Lipst1_1_185391,11807,YDL240W,YALI0F13211g,1.922,1.358,1.588
Lst|G1IA6-17370-MONOMER,Lipst1_1_1348,,YOL111C,YALI0B17061g,,0.097,0.073
Lst|G1IA6-16624-MONOMER,Lipst1_1_144913,9212,,YALI0E26279g,0.225,,0.283
Lst|G1IA6-19394-MONOMER,Lipst1_1_271034,,,YALI0B12408g,,,0.915
Lst|G1IA6-23166-MONOMER,Lipst1_1_6249,,YIL001W,YALI0D10087g,,0.936,1.015
Lst|G1IA6-16863-MONOMER,Lipst1_1_60391,,,YALI0D18590g,,,0.152
Lst|G1IA6-22866-MONOMER,Lipst1_1_65557,11161,YDR517W,YALI0E03014g,0.415,0.232,0.329
Lst|G1IA6-20087-MONOMER,Lipst1_1_3342,10315,YBR061C,YALI0F16049g,1.074,1.202,1.195
Lst|G1IA6-23349-MONOMER,Lipst1_1_183745,13560,,,0.24,,
Lst|G1IA6-20562-MONOMER,Lipst1_1_305924,,,YALI0C21758g,,,1.365
Lst|G1IA6-16902-MONOMER,Lipst1_1_652,8944,YLR396C,YALI0F04125g,1.544,0.329,0.955
Lst|G1IA6-21387-MONOMER,Lipst1_1_72834,11136,YFL060C,YALI0E20603g,0.473,0.469,0.457
Lst|G1IA6-22107-MONOMER,Lipst1_1_55959,9823,YOR198C,YALI0F04037g,0.549,0.289,0.603
Lst|G1IA6-23697-MONOMER,Lipst1_1_58978,,YMR308C,YALI0F14575g,,1.801,1.588
Lst|G1IA6-20576-MONOMER,Lipst1_1_308966,15160,YIR001C,YALI0E16500g,0.6,0.263,0.481
Lst|G1IA6-23547-MONOMER,Lipst1_1_75506,,YDR308C,YALI0E15037g,,0.228,0.278
Lst|G1IA6-22250-MONOMER,Lipst1_1_74019,12775,,,0.076,,
Lst|G1IA6-21110-MONOMER,Lipst1_1_338225,13058,,YALI0B10802g,1.708,,1.588
Lst|G1IA6-17570-MONOMER,Lipst1_1_41423,15263,YLL018C-A,YALI0E34540g,0.154,0.154,0.122
Lst|G1IA6-16935-MONOMER,Lipst1_1_670,9444,YNL262W,YALI0E26367g,1.944,1.801,1.588
Lst|G1IA6-22468-MONOMER,Lipst1_1_5640,,YHR062C,YALI0E26587g,,0.423,0.505
Lst|G1IA6-21285-MONOMER,Lipst1_1_55159,11809,YPL227C,YALI0D06017g,0.901,1.049,0.98
Lst|G1IA6-24323-MONOMER,Lipst1_1_7280,,,YALI0B12914g,,,0.309
Lst|G1IA6-16721-MONOMER,Lipst1_1_367,8539,YJR007W,YALI0B01034g,1.478,1.48,1.329
Lst|G1IA6-21877-MONOMER,Lipst1_1_106399,,YIL150C,,,0.274,
Lst|G1IA6-20768-MONOMER,Lipst1_1_63953,,,YALI0E29557g,,,1.419
Lst|G1IA6-24330-MONOMER,Lipst1_1_7302,,YJL102W,YALI0C18557g,,1.801,1.588
Lst|G1IA6-17467-MONOMER,Lipst1_1_213506,14813,,YALI0E14344g,0.457,,0.175
Lst|G1IA6-24088-MONOMER,Lipst1_1_199977,9680,,YALI0A18678g,0.135,,0.321
Lst|G1IA6-22096-MONOMER,Lipst1_1_5372,,,YALI0F18810g,,,0.167
Lst|G1IA6-23790-MONOMER,Lipst1_1_75707,10090,,,1.439,,
Lst|G1IA6-18294-MONOMER,Lipst1_1_32369,16319,,YALI0E25696g,0.877,,1.502
Lst|G1IA6-19114-MONOMER,Lipst1_1_69827,,YGL247W,,,0.251,
Lst|G1IA6-20630-MONOMER,Lipst1_1_3864,12522,YIL093C,YALI0D03916g,0.143,0.478,0.397
Lst|G1IA6-22093-MONOMER,Lipst1_1_5351,9261,,,0.582,,
Lst|G1IA6-16883-MONOMER,Lipst1_1_60710,15967,YGR244C,YALI0D04741g,1.697,1.616,1.588
Lst|G1IA6-19156-MONOMER,Lipst1_1_70001,11114,YDR196C,YALI0F09625g,0.493,0.582,0.595
Lst|G1IA6-18342-MONOMER,Lipst1_1_49933,8811,,,0.606,,
Lst|G1IA6-19701-MONOMER,Lipst1_1_70472,15994,,YALI0F31427g,0.626,,0.875
Lst|G1IA6-18639-MONOMER,Lipst1_1_110210,9084,YBR248C,YALI0C07128g,1.944,1.801,1.588
Lst|G1IA6-20956-MONOMER,Lipst1_1_105569,16505,YLR172C,YALI0F17138g,1.227,1.461,1.32
Lst|G1IA6-19718-MONOMER,Lipst1_1_70521,,,YALI0E06831g,,,0.116
Lst|G1IA6-17560-MONOMER,Lipst1_1_34849,9949,,,0.179,,
Lst|G1IA6-20661-MONOMER,Lipst1_1_3969,12943,YIL090W,YALI0D03982g,0.393,0.588,0.82
Lst|G1IA6-18359-MONOMER,Lipst1_1_61657,13569,YBR213W,YALI0E11385g,0.411,0.132,0.382
Lst|G1IA6-17844-MONOMER,Lipst1_1_78491,12168,,YALI0D19008g,0.266,,0.542
Lst|G1IA6-21825-MONOMER,Lipst1_1_73446,15773,YGR243W,YALI0C03223g,0.262,0.416,0.487
Lst|G1IA6-22216-MONOMER,Lipst1_1_73891,13605,YDR115W,YALI0D12793g,0.15,0.213,0.1
Lst|G1IA6-20277-MONOMER,Lipst1_1_71227,8540,YJL060W,YALI0E28787g,1.383,1.642,1.588
Lst|G1IA6-20159-MONOMER,Lipst1_1_3569,12618,YMR089C,YALI0A10615g,1.944,1.801,1.588
Lst|G1IA6-22120-MONOMER,Lipst1_1_56480,16628,YKR025W,YALI0D19448g,0.111,0.296,0.584
Lst|G1IA6-21120-MONOMER,Lipst1_1_39911,,YDR174W,YALI0C24398g,,0.147,0.113
Lst|G1IA6-19218-MONOMER,Lipst1_1_70288,,YMR152W,YALI0F08129g,,0.097,0.449
Lst|G1IA6-19766-MONOMER,Lipst1_1_70736,9290,YIL068C,YALI0D08492g,1.397,0.696,1.301
Lst|G1IA6-20309-MONOMER,Lipst1_1_71395,,,YALI0E17897g,,,0.106
Lst|G1IA6-19755-MONOMER,Lipst1_1_70691,12551,YBL033C,YALI0E02288g,0.765,1.087,1.253
Lst|G1IA6-22460-MONOMER,Lipst1_1_5597,9895,YMR132C,YALI0E16687g,0.543,0.377,0.581
Lst|G1IA6-22692-MONOMER,Lipst1_1_168360,,YJR141W,YALI0D11528g,,0.115,0.072
Lst|G1IA6-19785-MONOMER,Lipst1_1_70807,9482,YOR154W,YALI0C12430g,0.565,0.604,0.708
Lst|G1IA6-22430-MONOMER,Lipst1_1_5501,14104,,YALI0F22671g,1.374,,1.33
Lst|G1IA6-22330-MONOMER,Lipst1_1_157499,15252,YJR057W,YALI0C13354g,0.56,0.545,0.454
Lst|G1IA6-19527-MONOMER,Lipst1_1_3044,9699,YPR097W,YALI0B01056g,1.43,0.98,1.483
Lst|G1IA6-20565-MONOMER,Lipst1_1_306841,9163,,YALI0B04906g,1.122,,1.324
Lst|G1IA6-24124-MONOMER,Lipst1_1_334883,13486,Rto|9639,YALI0F01672g,1.944,1.944,1.588
Lst|G1IA6-24437-MONOMER,Lipst1_1_7397,13099,YLL039C,YALI0E18986g,1.744,1.801,1.588
Lst|G1IA6-18097-MONOMER,Lipst1_1_1813,9954,YJL025W,,0.074,0.194,
Lst|G1IA6-17668-MONOMER,Lipst1_1_67949,13319,YOR130C,YALI0D06798g,0.831,0.574,0.936
Lst|G1IA6-23952-MONOMER,Lipst1_1_6883,,,YALI0F00242g,,,0.235
Lst|G1IA6-19736-MONOMER,Lipst1_1_70583,15711,YLR200W,YALI0D17086g,0.26,0.277,0.249
Lst|G1IA6-24134-MONOMER,Lipst1_1_59612,9630,YBL095W,YALI0E28578g,0.483,0.217,0.212
Lst|G1IA6-20220-MONOMER,Lipst1_1_53239,11925,YDR294C,YALI0E28237g,1.944,1.801,1.588
Lst|G1IA6-21205-MONOMER,Lipst1_1_4483,,,YALI0D07106g,,,0.618
Lst|G1IA6-21309-MONOMER,Lipst1_1_64385,10697,YFL036W,YALI0A12001g,1.944,1.801,1.588
Lst|G1IA6-19747-MONOMER,Lipst1_1_70663,9058,,,0.195,,
Lst|G1IA6-20140-MONOMER,Lipst1_1_3508,13425,YMR309C,YALI0D22572g,1.944,1.409,1.588
Lst|G1IA6-22177-MONOMER,Lipst1_1_73732,16324,YGR144W,YALI0A09768g,1.309,1.231,1.588
Lst|G1IA6-24031-MONOMER,Lipst1_1_76085,,YBR056W,YALI0E34155g,,0.828,0.996
Lst|G1IA6-22408-MONOMER,Lipst1_1_5409,14132,,,0.241,,
Lst|G1IA6-18711-MONOMER,Lipst1_1_2211,11605,YOR326W,YALI0E00176g,1.944,1.801,1.588
Lst|G1IA6-22925-MONOMER,Lipst1_1_74747,9539,YNL026W,YALI0C06974g,0.668,0.446,0.735
Lst|G1IA6-22323-MONOMER,Lipst1_1_156846,16389,,,0.349,,
Lst|G1IA6-19065-MONOMER,Lipst1_1_69616,10625,YNL147W,YALI0F30426g,0.379,0.294,0.171
Lst|G1IA6-18577-MONOMER,Lipst1_1_79429,16779,YPR139C,YALI0C14014g,0.145,0.129,0.524
Lst|G1IA6-19546-MONOMER,Lipst1_1_3111,14415,,YALI0E15994g,0.189,,0.232
Lst|G1IA6-16800-MONOMER,Lipst1_1_47324,13813,YIL160C,YALI0E18568g,1.895,1.544,1.588
Lst|G1IA6-22402-MONOMER,Lipst1_1_39458,,,YALI0F12507g,,,0.249
Lst|G1IA6-17133-MONOMER,Lipst1_1_67787,11310,,YALI0C23496g,0.166,,0.419
Lst|G1IA6-21594-MONOMER,Lipst1_1_4726,16254,,,0.368,,
Lst|G1IA6-19260-MONOMER,Lipst1_1_104010,9384,YOR206W,YALI0D12012g,1.19,1.69,1.327
Lst|G1IA6-19635-MONOMER,Lipst1_1_52297,14985,YNL222W,YALI0F18194g,0.874,0.89,0.851
Lst|G1IA6-19973-MONOMER,Lipst1_1_283674,,,YALI0E26917g,,,0.686
Lst|G1IA6-22825-MONOMER,Lipst1_1_5996,9009,YBR097W,YALI0E33774g,1.944,1.801,1.588
Lst|G1IA6-16821-MONOMER,Lipst1_1_480,8920,YDL092W,YALI0F24013g,0.151,0.152,0.069
Lst|G1IA6-19147-MONOMER,Lipst1_1_69951,,YLR241W,YALI0F22033g,,1.801,1.588
Lst|G1IA6-17553-MONOMER,Lipst1_1_335148,11777,,YALI0A11473g,1.944,,1.588
Lst|G1IA6-23303-MONOMER,Lipst1_1_107533,8437,YHR200W,YALI0D03762g,0.789,0.775,1.014
Lst|G1IA6-21122-MONOMER,Lipst1_1_40415,15444,YDR175C,YALI0D08448g,0.173,0.41,0.217
Lst|G1IA6-20809-MONOMER,Lipst1_1_71974,8663,,,0.432,,
Lst|G1IA6-16886-MONOMER,Lipst1_1_60761,9016,,,0.57,,
Lst|G1IA6-17212-MONOMER,Lipst1_1_89753,14187,YGR024C,YALI0E09823g,0.925,0.802,0.794
Lst|G1IA6-18549-MONOMER,Lipst1_1_69444,11625,,YALI0F07018g,1.241,,1.384
Lst|G1IA6-23286-MONOMER,Lipst1_1_87420,,YPR194C,YALI0A00110g,,1.801,1.588
Lst|G1IA6-22575-MONOMER,Lipst1_1_74285,9127,YMR183C,YALI0B10780g,0.513,0.653,0.875
Lst|G1IA6-18394-MONOMER,Lipst1_1_68813,,YAL049C,YALI0F30547g,,0.58,0.471
Lst|G1IA6-21962-MONOMER,Lipst1_1_153606,15209,,,0.209,,
Lst|G1IA6-18338-MONOMER,Lipst1_1_49747,9830,YKL087C,YALI0E06215g,0.412,0.559,0.719
Lst|G1IA6-24461-MONOMER,Lipst1_1_60071,,YLR154W-A,,,0.327,
Lst|G1IA6-18972-MONOMER,Lipst1_1_50624,,YLR300W,YALI0F05390g,,1.415,1.185
Lst|G1IA6-20282-MONOMER,Lipst1_1_71254,,YDR527W,YALI0E26807g,,0.585,0.447
Lst|G1IA6-21693-MONOMER,Lipst1_1_55653,,YDR071C,YALI0B14036g,,0.322,0.438
Lst|G1IA6-22039-MONOMER,Lipst1_1_5184,8936,YLR027C,YALI0F29337g,1.739,1.55,1.588
Lst|G1IA6-20286-MONOMER,Lipst1_1_71273,8714,,YALI0F06270g,0.272,,0.471
Lst|G1IA6-18890-MONOMER,Lipst1_1_257966,,,YALI0E02002g,,,0.165
Lst|G1IA6-23340-MONOMER,Lipst1_1_181630,13686,,,0.179,,
Lst|G1IA6-20618-MONOMER,Lipst1_1_3819,,YGR053C,,,0.102,
Lst|G1IA6-20476-MONOMER,Lipst1_1_27918,,YDL089W,YALI0D08932g,,0.059,0.334
Lst|G1IA6-20861-MONOMER,Lipst1_1_72186,14259,YGL234W,YALI0F21010g,1.944,1.801,1.588
Lst|G1IA6-20745-MONOMER,Lipst1_1_53905,15253,,YALI0D19778g,1.883,,1.196
Lst|G1IA6-23273-MONOMER,Lipst1_1_75269,11149,YNL227C,YALI0B15312g,0.578,0.779,0.722
Lst|G1IA6-23555-MONOMER,Lipst1_1_75541,8825,YBR175W,YALI0F26389g,1.089,0.504,0.837
Lst|G1IA6-17837-MONOMER,Lipst1_1_767,12042,YPL061W,YALI0C03025g,1.944,1.801,1.588
Lst|G1IA6-22801-MONOMER,Lipst1_1_5897,16409,,YALI0C09504g,0.619,,0.613
Lst|G1IA6-16513-MONOMER,Lipst1_1_128496,11929,YDR091C,YALI0A17941g,1.258,1.29,1.204
Lst|G1IA6-21926-MONOMER,Lipst1_1_147168,16725,YHR112C,YALI0C22088g,0.853,1.141,1.163
Lst|G1IA6-18313-MONOMER,Lipst1_1_37846,14782,YLL010C,YALI0D11726g,0.993,0.971,0.993
Lst|G1IA6-22824-MONOMER,Lipst1_1_5991,,YER093C-A,YALI0F22367g,,0.078,0.085
Lst|G1IA6-21155-MONOMER,Lipst1_1_4297,9022,YFL002C,YALI0F18238g,1.324,1.665,1.566
Lst|G1IA6-16411-MONOMER,Lipst1_1_101829,,,YALI0F12947g,,,0.134
Lst|G1IA6-17922-MONOMER,Lipst1_1_948,16310,,YALI0C19404g,0.217,,0.19
Lst|G1IA6-22050-MONOMER,Lipst1_1_5219,11777,,YALI0A11473g,1.944,,1.588
Lst|G1IA6-24176-MONOMER,Lipst1_1_76266,12442,YOL098C,YALI0D15642g,1.944,1.801,1.588
Lst|G1IA6-24317-MONOMER,Lipst1_1_45061,10267,,YALI0F24717g,0.208,,0.143
Lst|G1IA6-17676-MONOMER,Lipst1_1_67972,12912,YER043C,YALI0F11759g,1.944,1.801,1.588
Lst|G1IA6-18486-MONOMER,Lipst1_1_69185,8937,,YALI0A01067g,0.3,,0.392
Lst|G1IA6-19100-MONOMER,Lipst1_1_69774,12112,YGL131C,YALI0E30547g,1.016,0.848,1.588
Lst|G1IA6-17667-MONOMER,Lipst1_1_67948,15977,YJR014W,YALI0D06842g,0.475,0.643,0.619
Lst|G1IA6-17259-MONOMER,Lipst1_1_102600,11365,YER082C,YALI0F09856g,1.486,1.801,1.552
Lst|G1IA6-22117-MONOMER,Lipst1_1_56366,,YBR151W,YALI0C15246g,,0.361,0.384
Lst|G1IA6-20689-MONOMER,Lipst1_1_4053,11490,YDR331W,YALI0F07733g,1.485,1.516,1.447
Lst|G1IA6-20071-MONOMER,Lipst1_1_3289,12226,,YALI0A09658g,0.911,,1.588
Lst|G1IA6-16733-MONOMER,Lipst1_1_396,9229,YCR014C,YALI0D12364g,0.495,0.105,0.239
Lst|G1IA6-22450-MONOMER,Lipst1_1_5571,,YJR104C,YALI0E12133g,,0.775,0.727
Lst|G1IA6-22082-MONOMER,Lipst1_1_5319,11018,YNL279W,YALI0E08580g,0.717,0.774,0.729
Lst|G1IA6-18690-MONOMER,Lipst1_1_2138,13382,,,1.944,,
Lst|G1IA6-20935-MONOMER,Lipst1_1_83866,12458,YOL080C,YALI0B18128g,0.678,0.75,0.542
Lst|G1IA6-19976-MONOMER,Lipst1_1_284310,13797,YBL015W,YALI0E30965g,1.944,1.801,1.588
Lst|G1IA6-22488-MONOMER,Lipst1_1_56835,8819,YFL030W,YALI0E16643g,1.374,0.987,1.311
Lst|G1IA6-19827-MONOMER,Lipst1_1_71003,9679,YBR173C,YALI0E13145g,0.084,0.164,0.201
Lst|G1IA6-16842-MONOMER,Lipst1_1_550,10083,YKL149C,YALI0D11352g,1.098,0.759,1.024
Lst|G1IA6-21958-MONOMER,Lipst1_1_152307,9826,YGL219C,YALI0D24926g,0.752,0.214,0.975
Lst|G1IA6-16492-MONOMER,Lipst1_1_124163,14340,YAL035W,YALI0A00803g,1.944,1.801,1.588
Lst|G1IA6-22587-MONOMER,Lipst1_1_74342,,,YALI0B12056g,,,1.396
Lst|G1IA6-21952-MONOMER,Lipst1_1_151121,16823,YJR117W,YALI0F11033g,0.869,1.403,1.011
Lst|G1IA6-20311-MONOMER,Lipst1_1_71400,11486,YHR020W,YALI0E05027g,1.944,1.801,1.588
Lst|G1IA6-20317-MONOMER,Lipst1_1_71411,,YOR236W,YALI0C12771g,,0.272,0.309
Lst|G1IA6-23740-MONOMER,Lipst1_1_6747,16853,,,0.083,,
Lst|G1IA6-18299-MONOMER,Lipst1_1_336068,8942,YOR341W,YALI0F13783g,1.944,1.801,1.588
Lst|G1IA6-19370-MONOMER,Lipst1_1_2677,,,YALI0C00825g,,,1.054
Lst|G1IA6-21770-MONOMER,Lipst1_1_73270,,,YALI0C17897g,,,0.645
Lst|G1IA6-22789-MONOMER,Lipst1_1_5852,12099,YKL104C,YALI0B21428g,1.944,1.801,1.588
Lst|G1IA6-18903-MONOMER,Lipst1_1_259202,,YCR030C,,,0.281,
Lst|G1IA6-23371-MONOMER,Lipst1_1_30244,,YGR006W,,,0.274,
Lst|G1IA6-24412-MONOMER,Lipst1_1_40904,,,YalifMp17,,,0.175
Lst|G1IA6-17058-MONOMER,Lipst1_1_67509,,YML052W,YALI0F12331g,,0.382,0.352
Lst|G1IA6-20050-MONOMER,Lipst1_1_3244,8543,,YALI0A09383g,1.158,,1.143
Lst|G1IA6-19038-MONOMER,Lipst1_1_62545,9126,YJR138W,YALI0D01067g,0.309,1.801,1.588
Lst|G1IA6-21454-MONOMER,Lipst1_1_106140,,YKL103C,YALI0C10494g,,1.601,1.588
Lst|G1IA6-18966-MONOMER,Lipst1_1_50421,,YJR055W,YALI0F07953g,,0.186,0.174
Lst|G1IA6-22831-MONOMER,Lipst1_1_6008,12699,YDR361C,YALI0D27324g,0.592,0.384,0.737
Lst|G1IA6-20872-MONOMER,Lipst1_1_72215,9216,YCL064C,YALI0E10307g,0.584,0.779,0.659
Lst|G1IA6-18935-MONOMER,Lipst1_1_31858,15827,YNL273W,YALI0B06512g,0.716,0.949,0.998
Lst|G1IA6-18810-MONOMER,Lipst1_1_248385,13794,YGR173W,YALI0B12936g,1.674,1.801,1.588
Lst|G1IA6-22810-MONOMER,Lipst1_1_5934,11424,YNL246W,,0.102,0.115,
Lst|G1IA6-18975-MONOMER,Lipst1_1_50735,10279,YLR015W,YALI0D04807g,0.608,0.481,0.646
Lst|G1IA6-16970-MONOMER,Lipst1_1_67146,15491,YFR018C,YALI0E29205g,0.576,0.477,0.576
Lst|G1IA6-21175-MONOMER,Lipst1_1_4382,,YOR340C,YALI0F06182g,,0.529,0.416
Lst|G1IA6-17217-MONOMER,Lipst1_1_90249,,YKL053C-A,YALI0F31548g,,0.334,0.259
Lst|G1IA6-18429-MONOMER,Lipst1_1_68946,13898,YDR025W,YALI0F20482g,0.724,0.885,0.75
Lst|G1IA6-16781-MONOMER,Lipst1_1_46980,11469,YML035C,YALI0E11495g,1.944,1.801,1.588
Lst|G1IA6-19845-MONOMER,Lipst1_1_81400,,YMR244W,,,1.198,
Lst|G1IA6-16683-MONOMER,Lipst1_1_293,16085,YHR194W,YALI0E01144g,1.32,1.659,1.588
Lst|G1IA6-23758-MONOMER,Lipst1_1_6804,14723,YLR149C,YALI0F29359g,0.248,0.392,0.582
Lst|G1IA6-18539-MONOMER,Lipst1_1_69411,,YMR194C-B,YALI0E24409g,,0.138,0.181
Lst|G1IA6-19155-MONOMER,Lipst1_1_69999,14612,YFL005W,YALI0E23067g,1.069,0.847,0.876
Lst|G1IA6-18023-MONOMER,Lipst1_1_1484,12909,,,1.266,,
Lst|G1IA6-19716-MONOMER,Lipst1_1_70518,,YJR107W,YALI0A20350g,,0.199,0.46
